league_name,team_name,logo_url
NFL,Arizona Cardinals,https://r2.thesportsdb.com/images/media/team/badge/xvuwtw1420646838.png
NFL,Atlanta Falcons,https://r2.thesportsdb.com/images/media/team/badge/rrpvpr1420658174.png
NFL,Baltimore Ravens,https://r2.thesportsdb.com/images/media/team/badge/einz3p1546172463.png
NFL,Buffalo Bills,https://r2.thesportsdb.com/images/media/team/badge/6pb37b1515849026.png
NFL,Carolina Panthers,https://r2.thesportsdb.com/images/media/team/badge/xxyvvy1420940478.png
NFL,Chicago Bears,https://r2.thesportsdb.com/images/media/team/badge/ji22531698678538.png
NFL,Cincinnati Bengals,https://r2.thesportsdb.com/images/media/team/badge/qqtwwv1420941670.png
NFL,Cleveland Browns,https://r2.thesportsdb.com/images/media/team/badge/squvxy1420942389.png
NFL,Dallas Cowboys,https://r2.thesportsdb.com/images/media/team/badge/wrxssu1450018209.png
NFL,Denver Broncos,https://r2.thesportsdb.com/images/media/team/badge/upsspx1421635647.png
NFL,Detroit Lions,https://r2.thesportsdb.com/images/media/team/badge/lgsgkr1546168257.png
NFL,Green Bay Packers,https://r2.thesportsdb.com/images/media/team/badge/rqpwtr1421434717.png
NFL,Houston Texans,https://r2.thesportsdb.com/images/media/team/badge/wqyryy1421436627.png
NFL,Indianapolis Colts,https://r2.thesportsdb.com/images/media/team/badge/wqqvpx1421434058.png
NFL,Jacksonville Jaguars,https://r2.thesportsdb.com/images/media/team/badge/0mrsd41546427902.png
NFL,Kansas City Chiefs,https://r2.thesportsdb.com/images/media/team/badge/936t161515847222.png
NFL,Las Vegas Raiders,https://r2.thesportsdb.com/images/media/team/badge/xqusqy1421724291.png
NFL,Los Angeles Chargers,https://r2.thesportsdb.com/images/media/team/badge/vrqanp1687734910.png
NFL,Los Angeles Rams,https://r2.thesportsdb.com/images/media/team/badge/8e8v4i1599764614.png
NFL,Miami Dolphins,https://r2.thesportsdb.com/images/media/team/badge/trtusv1421435081.png
NFL,Minnesota Vikings,https://r2.thesportsdb.com/images/media/team/badge/qstqqr1421609163.png
NFL,New England Patriots,https://r2.thesportsdb.com/images/media/team/badge/xtwxyt1421431860.png
NFL,New Orleans Saints,https://r2.thesportsdb.com/images/media/team/badge/nd46c71537821337.png
NFL,New York Giants,https://r2.thesportsdb.com/images/media/team/badge/vxppup1423669459.png
NFL,New York Jets,https://r2.thesportsdb.com/images/media/team/badge/hz92od1607953467.png
NFL,Philadelphia Eagles,https://r2.thesportsdb.com/images/media/team/badge/pnpybf1515852421.png
NFL,Pittsburgh Steelers,https://r2.thesportsdb.com/images/media/team/badge/2975411515853129.png
NFL,San Francisco 49ers,https://r2.thesportsdb.com/images/media/team/badge/bqbtg61539537328.png
NFL,Seattle Seahawks,https://r2.thesportsdb.com/images/media/team/badge/wwuqyr1421434817.png
NFL,Tampa Bay Buccaneers,https://r2.thesportsdb.com/images/media/team/badge/2dfpdl1537820969.png
NFL,Tennessee Titans,https://r2.thesportsdb.com/images/media/team/badge/m48yia1515847376.png
NFL,Washington Commanders,https://r2.thesportsdb.com/images/media/team/badge/rn0c7v1643826119.png
English Premier League,Arsenal,https://r2.thesportsdb.com/images/media/team/badge/uyhbfe1612467038.png
English Premier League,Aston Villa,https://r2.thesportsdb.com/images/media/team/badge/jykrpv1717309891.png
English Premier League,Bournemouth,https://r2.thesportsdb.com/images/media/team/badge/y08nak1534071116.png
English Premier League,Brentford,https://r2.thesportsdb.com/images/media/team/badge/grv1aw1546453779.png
English Premier League,Brighton,https://r2.thesportsdb.com/images/media/team/badge/ywypts1448810904.png
English Premier League,Chelsea,https://r2.thesportsdb.com/images/media/team/badge/yvwvtu1448813215.png
English Premier League,Crystal Palace,https://r2.thesportsdb.com/images/media/team/badge/ia6i3m1656014992.png
English Premier League,Everton,https://r2.thesportsdb.com/images/media/team/badge/eqayrf1523184794.png
English Premier League,Fulham,https://r2.thesportsdb.com/images/media/team/badge/xwwvyt1448811086.png
English Premier League,Ipswich,https://r2.thesportsdb.com/images/media/team/badge/mdj1ey1634670785.png
English Premier League,Leicester,https://r2.thesportsdb.com/images/media/team/badge/xtxwtu1448813356.png
English Premier League,Liverpool,https://r2.thesportsdb.com/images/media/team/badge/kfaher1737969724.png
English Premier League,Manchester City,https://r2.thesportsdb.com/images/media/team/badge/vwpvry1467462651.png
English Premier League,Manchester United,https://r2.thesportsdb.com/images/media/team/badge/xzqdr11517660252.png
English Premier League,Newcastle,https://r2.thesportsdb.com/images/media/team/badge/lhwuiz1621593302.png
English Premier League,Nottingham Forest,https://r2.thesportsdb.com/images/media/team/badge/bk4qjs1546440351.png
English Premier League,Southampton,https://r2.thesportsdb.com/images/media/team/badge/ggqtd01621593274.png
English Premier League,Tottenham,https://r2.thesportsdb.com/images/media/team/badge/dfyfhl1604094109.png
English Premier League,West Ham,https://r2.thesportsdb.com/images/media/team/badge/yutyxs1467459956.png
English Premier League,Wolves,https://r2.thesportsdb.com/images/media/team/badge/u9qr031621593327.png
NBA,Atlanta Hawks,https://r2.thesportsdb.com/images/media/team/badge/q3bx641635067495.png
NBA,Boston Celtics,https://r2.thesportsdb.com/images/media/team/badge/4j85bn1667936589.png
NBA,Brooklyn Nets,https://r2.thesportsdb.com/images/media/team/badge/hkafe61739948361.png
NBA,Charlotte Hornets,https://r2.thesportsdb.com/images/media/team/badge/xqtvvp1422380623.png
NBA,Chicago Bulls,https://r2.thesportsdb.com/images/media/team/badge/yk7swg1547214677.png
NBA,Cleveland Cavaliers,https://r2.thesportsdb.com/images/media/team/badge/tys75k1664478652.png
NBA,Dallas Mavericks,https://r2.thesportsdb.com/images/media/team/badge/yqrxrs1420568796.png
NBA,Denver Nuggets,https://r2.thesportsdb.com/images/media/team/badge/8o8j5k1546016274.png
NBA,Detroit Pistons,https://r2.thesportsdb.com/images/media/team/badge/lg7qrc1621594751.png
NBA,Golden State Warriors,https://r2.thesportsdb.com/images/media/team/badge/irobi61565197527.png
NBA,Houston Rockets,https://r2.thesportsdb.com/images/media/team/badge/yezpho1597486052.png
NBA,Indiana Pacers,https://r2.thesportsdb.com/images/media/team/badge/v6jzgm1503741821.png
NBA,Los Angeles Clippers,https://r2.thesportsdb.com/images/media/team/badge/3gtb8s1719303125.png
NBA,Los Angeles Lakers,https://r2.thesportsdb.com/images/media/team/badge/d8uoxw1714254511.png
NBA,Memphis Grizzlies,https://r2.thesportsdb.com/images/media/team/badge/m64v461565196789.png
NBA,Miami Heat,https://r2.thesportsdb.com/images/media/team/badge/5v67x51547214763.png
NBA,Milwaukee Bucks,https://r2.thesportsdb.com/images/media/team/badge/olhug01621594702.png
NBA,Minnesota Timberwolves,https://r2.thesportsdb.com/images/media/team/badge/5xpgjg1621594771.png
NBA,New Orleans Pelicans,https://r2.thesportsdb.com/images/media/team/badge/cak6261696446261.png
NBA,New York Knicks,https://r2.thesportsdb.com/images/media/team/badge/wyhpuf1511810435.png
NBA,Oklahoma City Thunder,https://www.thesportsdb.com/images/media/team/badge/27v8861746610370.png
NBA,Orlando Magic,https://r2.thesportsdb.com/images/media/team/badge/f2wcro1696446120.png
NBA,Philadelphia 76ers,https://r2.thesportsdb.com/images/media/team/badge/71545f1518464849.png
NBA,Phoenix Suns,https://r2.thesportsdb.com/images/media/team/badge/qrtuxq1422919040.png
NBA,Portland Trail Blazers,https://r2.thesportsdb.com/images/media/team/badge/ljkd1r1696445959.png
NBA,Sacramento Kings,https://r2.thesportsdb.com/images/media/team/badge/5d3dpz1611859587.png
NBA,San Antonio Spurs,https://r2.thesportsdb.com/images/media/team/badge/obucan1611859537.png
NBA,Toronto Raptors,https://r2.thesportsdb.com/images/media/team/badge/ax36vz1635070057.png
NBA,Utah Jazz,https://r2.thesportsdb.com/images/media/team/badge/ne4a051664478964.png
NBA,Washington Wizards,https://r2.thesportsdb.com/images/media/team/badge/rhxi9w1621594729.png
MLB,Arizona Diamondbacks,https://r2.thesportsdb.com/images/media/team/badge/xe5wlo1713861863.png
MLB,Athletics,https://r2.thesportsdb.com/images/media/team/badge/cyvrv31741640777.png
MLB,Atlanta Braves,https://r2.thesportsdb.com/images/media/team/badge/yjs76e1617811496.png
MLB,Baltimore Orioles,https://r2.thesportsdb.com/images/media/team/badge/ytywvu1431257088.png
MLB,Boston Red Sox,https://r2.thesportsdb.com/images/media/team/badge/stpsus1425120215.png
MLB,Chicago Cubs,https://r2.thesportsdb.com/images/media/team/badge/wxbe071521892391.png
MLB,Chicago White Sox,https://r2.thesportsdb.com/images/media/team/badge/yyz5dh1554140884.png
MLB,Cincinnati Reds,https://r2.thesportsdb.com/images/media/team/badge/wspusr1431538832.png
MLB,Cleveland Guardians,https://r2.thesportsdb.com/images/media/team/badge/3zvzao1640964590.png
MLB,Colorado Rockies,https://r2.thesportsdb.com/images/media/team/badge/r7q6ko1687608395.png
MLB,Detroit Tigers,https://r2.thesportsdb.com/images/media/team/badge/9dib6o1554032173.png
MLB,Houston Astros,https://r2.thesportsdb.com/images/media/team/badge/miwigx1521893583.png
MLB,Kansas City Royals,https://r2.thesportsdb.com/images/media/team/badge/ii3rz81554031260.png
MLB,Los Angeles Angels,https://r2.thesportsdb.com/images/media/team/badge/vswsvx1432577476.png
MLB,Los Angeles Dodgers,https://r2.thesportsdb.com/images/media/team/badge/p2oj631663889783.png
MLB,Miami Marlins,https://r2.thesportsdb.com/images/media/team/badge/0722fs1546001701.png
MLB,Milwaukee Brewers,https://r2.thesportsdb.com/images/media/team/badge/08kh2a1595775193.png
MLB,Minnesota Twins,https://r2.thesportsdb.com/images/media/team/badge/necd5v1521905719.png
MLB,New York Mets,https://r2.thesportsdb.com/images/media/team/badge/rxqspq1431540337.png
MLB,New York Yankees,https://r2.thesportsdb.com/images/media/team/badge/wqwwxx1423478766.png
MLB,Philadelphia Phillies,https://r2.thesportsdb.com/images/media/team/badge/3xrldf1617528682.png
MLB,Pittsburgh Pirates,https://r2.thesportsdb.com/images/media/team/badge/kw6uqr1617527138.png
MLB,San Diego Padres,https://r2.thesportsdb.com/images/media/team/badge/6wt1cn1617527530.png
MLB,San Francisco Giants,https://r2.thesportsdb.com/images/media/team/badge/mq81yb1521896622.png
MLB,Seattle Mariners,https://r2.thesportsdb.com/images/media/team/badge/39x9ph1521903933.png
MLB,St. Louis Cardinals,https://r2.thesportsdb.com/images/media/team/badge/uvyvyr1424003273.png
MLB,Tampa Bay Rays,https://r2.thesportsdb.com/images/media/team/badge/littyt1554031623.png
MLB,Texas Rangers,https://r2.thesportsdb.com/images/media/team/badge/qt9qki1521893151.png
MLB,Toronto Blue Jays,https://r2.thesportsdb.com/images/media/team/badge/f9zk3l1617527686.png
